provider_id,provider_name,npi,specialty,department_id,coding_accuracy_score,documentation_completeness_score,years_experience,status,credential
PROV001,Dr. Carol Robinson,1194353398,Internal Medicine,DEPT02,0.979,0.79,17,Active,MD
PROV002,Dr. William Williams,1234555952,Internal Medicine,DEPT02,0.91,0.937,21,Active,MD
PROV003,Dr. Kenneth Brown,1701331029,Internal Medicine,DEPT02,0.818,0.911,2,Active,MD
PROV004,Dr. Sarah Smith,1295687035,Internal Medicine,DEPT02,0.793,0.896,21,Active,MD
PROV005,Dr. Michelle Miller,1792081534,Internal Medicine,DEPT02,0.82,0.793,12,Active,DO
PROV006,Dr. Dorothy Lee,1571501398,Internal Medicine,DEPT02,0.955,0.935,8,Active,DO
PROV007,Dr. Michelle Ramirez,1581823250,Internal Medicine,DEPT02,0.961,0.887,6,Active,MD
PROV008,Dr. William Martinez,1527241828,Internal Medicine,DEPT02,0.821,0.791,16,Active,MD
PROV009,Dr. Linda Hernandez,1824457404,Internal Medicine,DEPT02,0.781,0.801,18,Active,DO
PROV010,Dr. Robert Miller,1753386934,Internal Medicine,DEPT02,0.878,0.864,27,Active,MD
PROV011,Dr. Ashley Hernandez,1111436199,Internal Medicine,DEPT02,0.887,0.877,30,Active,DO
PROV012,Dr. William Davis,1749045422,Internal Medicine,DEPT02,0.984,0.94,29,Active,DO
PROV013,Dr. John Lewis,1243050433,Emergency Medicine,DEPT01,0.817,0.948,11,Active,DO
PROV014,Dr. Kimberly Garcia,1489658770,Emergency Medicine,DEPT01,0.955,0.963,17,Active,DO
PROV015,Dr. William Johnson,1927065345,Emergency Medicine,DEPT01,0.806,0.834,22,Active,MD
PROV016,Dr. Paul Thompson,1202297735,Emergency Medicine,DEPT01,0.791,0.85,2,Active,DO
PROV017,Dr. Joseph Brown,1441016505,Emergency Medicine,DEPT01,0.894,0.88,8,Active,MD
PROV018,Dr. Ashley Brown,1742294211,Emergency Medicine,DEPT01,0.928,0.811,19,Active,MD
PROV019,Dr. Joseph Smith,1652240578,Emergency Medicine,DEPT01,0.806,0.837,20,Active,DO
PROV020,Dr. Donald Jackson,1946666575,Emergency Medicine,DEPT01,0.816,0.898,9,Active,DO
PROV021,Dr. Sarah Jackson,1483165067,Emergency Medicine,DEPT01,0.874,0.776,14,Active,DO
PROV022,Dr. Daniel Taylor,1660574691,Emergency Medicine,DEPT01,0.828,0.939,27,Active,DO
PROV023,Dr. Joseph Wilson,1946987099,Cardiology,DEPT03,0.878,0.821,23,Active,MD
PROV024,Dr. Dorothy Lee,1680861087,Cardiology,DEPT03,0.791,0.838,22,Active,MD
PROV025,Dr. Thomas Wilson,1656211303,Cardiology,DEPT03,0.808,0.823,24,Active,MD
PROV026,Dr. Jennifer Taylor,1336496571,Cardiology,DEPT03,0.877,0.815,9,Active,DO
PROV027,Dr. Charles Garcia,1615150012,Cardiology,DEPT03,0.95,0.973,21,Active,DO
PROV028,Dr. John Harris,1876008453,Cardiology,DEPT03,0.97,0.773,21,Active,DO
PROV029,Dr. Richard Harris,1181749244,Cardiology,DEPT03,0.939,0.808,27,Active,DO
PROV030,Dr. Emily Miller,1959552805,Cardiology,DEPT03,0.871,0.794,17,Active,DO
PROV031,Dr. John Anderson,1233355247,Orthopedic Surgery,DEPT04,0.801,0.812,25,Active,DO
PROV032,Dr. Michelle Clark,1792549016,Orthopedic Surgery,DEPT04,0.801,0.924,9,Active,MD
PROV033,Dr. Charles Lee,1247854122,Orthopedic Surgery,DEPT04,0.952,0.964,14,Active,MD
PROV034,Dr. David Hernandez,1542775699,Orthopedic Surgery,DEPT04,0.849,0.911,19,Active,MD
PROV035,Dr. Mary Martin,1399323386,Orthopedic Surgery,DEPT04,0.86,0.881,7,Active,DO
PROV036,Dr. Susan Lewis,1689226332,Orthopedic Surgery,DEPT04,0.808,0.849,19,Active,MD
PROV037,Dr. David Clark,1240166858,Orthopedic Surgery,DEPT04,0.922,0.803,2,Active,MD
PROV038,Dr. Ashley Taylor,1551396398,General Surgery,DEPT05,0.787,0.786,24,Active,DO
PROV039,Dr. Dorothy Lopez,1412625567,General Surgery,DEPT05,0.881,0.906,16,Active,MD
PROV040,Dr. Charles Garcia,1511096126,General Surgery,DEPT05,0.917,0.864,13,Active,DO
PROV041,Dr. Betty Garcia,1169337334,General Surgery,DEPT05,0.887,0.974,19,Active,DO
PROV042,Dr. Richard Garcia,1572041707,General Surgery,DEPT05,0.878,0.893,6,Active,MD
