provider_id,npi,entity_type,taxonomy_code,taxonomy_description,license_state,license_number,enumeration_date,last_update,npi_status,sole_proprietor,organization_name,organization_npi,enrolled_payers,medicare_enrolled,medicaid_enrolled,pecos_enrollment_date,opt_out_status
PRV0001,1104043207,Individual,207P00000X,Emergency Medicine,NC,NC14023,2012-09-14,2024-05-02,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Medicare|Blue Cross NC|Humana|Tricare,True,False,2021-02-23,False
PRV0002,1669082995,Individual,207R00000X,Internal Medicine,NC,NC24693,2012-02-07,2024-07-14,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|UnitedHealthcare|Blue Cross NC|Humana|Aetna,False,True,,False
PRV0003,1487105731,Individual,207RC0000X,Cardiovascular Disease,NC,NC23781,2010-10-10,2024-06-04,Active,N,Meridian Regional Medical Center,1987654321,UnitedHealthcare|Tricare|Cigna|Medicaid|Aetna|Medicare,True,True,2021-07-21,False
PRV0004,1898737114,Individual,207X00000X,Orthopaedic Surgery,NC,NC54342,2016-10-17,2024-12-11,Active,N,Meridian Regional Medical Center,1987654321,UnitedHealthcare|Medicare|Medicaid|Humana|Blue Cross NC|Cigna|Tricare|Aetna,True,True,2018-02-17,False
PRV0005,1846955276,Individual,208600000X,Surgery,NC,NC84900,2011-06-11,2024-12-31,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|Cigna|Tricare|Blue Cross NC|Aetna|UnitedHealthcare,False,True,,False
PRV0006,1325658669,Individual,207Q00000X,Family Medicine,NC,NC80333,2012-07-29,2024-09-05,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Tricare|Aetna|UnitedHealthcare|Medicaid|Medicare|Humana|Blue Cross NC,True,True,2022-03-21,False
PRV0007,1285804434,Individual,207RP1001X,Pulmonary Disease,NC,NC78799,2015-01-05,2024-01-21,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Aetna|Tricare|Humana|UnitedHealthcare|Blue Cross NC|Medicaid,False,True,,False
PRV0008,1200252132,Individual,207RG0100X,Gastroenterology,NC,NC24920,2011-12-14,2024-08-07,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Aetna|Tricare|Blue Cross NC|Cigna|Humana|Medicaid,True,True,2018-04-28,False
PRV0009,1881444882,Individual,207RX0202X,Medical Oncology,NC,NC39949,2017-08-07,2024-05-14,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Tricare|Medicaid|Cigna|UnitedHealthcare|Humana|Medicare|Blue Cross NC,True,True,2019-06-14,False
PRV0010,1113264482,Individual,2084N0400X,Neurology,NC,NC66261,2015-08-11,2024-11-29,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Medicare|Blue Cross NC|Medicaid|Tricare|UnitedHealthcare,True,True,2022-06-21,False
PRV0011,1273284974,Individual,207V00000X,Obstetrics & Gynecology,NC,NC28823,2016-03-19,2024-09-05,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|Tricare|Medicare|UnitedHealthcare|Humana,True,True,2016-01-21,False
PRV0012,1567446028,Individual,2084P0800X,Psychiatry,NC,NC21170,2011-05-12,2024-08-08,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Medicaid|UnitedHealthcare|Humana|Aetna|Tricare|Cigna|Blue Cross NC,True,True,2020-12-14,False
PRV0013,1144788437,Individual,2085R0202X,Diagnostic Radiology,NC,NC13274,2017-10-14,2024-03-12,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|Cigna|UnitedHealthcare|Tricare|Humana|Medicare,True,True,2020-04-26,False
PRV0014,1560726248,Individual,208100000X,Physical Medicine & Rehabilitation,NC,NC24524,2011-11-12,2024-06-03,Active,N,Meridian Regional Medical Center,1987654321,UnitedHealthcare|Tricare|Aetna|Cigna|Blue Cross NC|Medicare|Medicaid|Humana,True,True,2021-10-07,False
PRV0015,1362113866,Individual,207P00000X,Emergency Medicine,NC,NC54124,2015-11-05,2024-04-20,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Cigna|Tricare|Aetna|Medicaid|Humana|UnitedHealthcare,True,True,2019-12-16,False
PRV0016,1595286831,Individual,207R00000X,Internal Medicine,NC,NC33133,2018-07-15,2024-07-24,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Medicaid|UnitedHealthcare|Tricare|Aetna,False,True,,False
PRV0017,1977817824,Individual,207RC0000X,Cardiovascular Disease,NC,NC58085,2021-09-18,2024-02-23,Deactivated,N,Meridian Regional Medical Center,1987654321,Cigna|Medicaid|Tricare|UnitedHealthcare|Medicare,True,True,2022-04-21,False
PRV0018,1647838571,Individual,207X00000X,Orthopaedic Surgery,NC,NC56570,2014-04-16,2024-08-31,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Humana|UnitedHealthcare|Medicaid|Blue Cross NC|Cigna|Tricare|Aetna,True,True,2017-01-22,False
PRV0019,1817230052,Individual,208600000X,Surgery,NC,NC74483,2013-08-06,2024-09-14,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Blue Cross NC|Medicare|Cigna|Medicaid|UnitedHealthcare,True,True,2016-02-19,False
PRV0020,1332254798,Individual,207Q00000X,Family Medicine,NC,NC87095,2012-11-05,2024-06-19,Active,N,Meridian Regional Medical Center,1987654321,Humana|Blue Cross NC|Medicare|Cigna|UnitedHealthcare|Tricare,True,False,2020-01-28,False
PRV0021,1759649974,Individual,207RP1001X,Pulmonary Disease,NC,NC20185,2015-05-04,2024-07-29,Deactivated,N,Meridian Regional Medical Center,1987654321,Cigna|Aetna|UnitedHealthcare|Humana|Medicaid|Blue Cross NC|Tricare,False,True,,False
PRV0022,1408679549,Individual,207RG0100X,Gastroenterology,NC,NC16045,2021-01-22,2024-06-16,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Medicaid|Tricare|Cigna|Blue Cross NC|UnitedHealthcare,False,True,,False
PRV0023,1627539793,Individual,207RX0202X,Medical Oncology,NC,NC97743,2011-06-20,2024-05-25,Active,N,Meridian Regional Medical Center,1987654321,Humana|Blue Cross NC|Medicaid|Aetna|Tricare|UnitedHealthcare|Cigna,False,True,,False
PRV0024,1878371714,Individual,2084N0400X,Neurology,NC,NC69213,2011-10-08,2024-04-09,Active,N,Meridian Regional Medical Center,1987654321,Humana|Aetna|UnitedHealthcare|Medicaid|Medicare|Blue Cross NC|Cigna,True,True,2019-03-23,False
PRV0025,1622475493,Individual,207V00000X,Obstetrics & Gynecology,NC,NC39051,2020-02-03,2024-03-28,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Tricare|Humana|Medicaid|Blue Cross NC|Cigna,True,True,2017-06-07,False
PRV0026,1208881205,Individual,2084P0800X,Psychiatry,NC,NC33903,2016-06-29,2024-03-23,Active,N,Meridian Regional Medical Center,1987654321,Humana|UnitedHealthcare|Aetna|Tricare|Blue Cross NC|Cigna|Medicaid|Medicare,True,True,2018-05-06,False
PRV0027,1856074314,Individual,2085R0202X,Diagnostic Radiology,NC,NC36493,2014-11-04,2024-02-27,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Medicare|Humana|Tricare|UnitedHealthcare|Aetna,True,False,2016-04-17,False
PRV0028,1163583239,Individual,208100000X,Physical Medicine & Rehabilitation,NC,NC54061,2018-06-27,2024-07-12,Active,N,Meridian Regional Medical Center,1987654321,Cigna|UnitedHealthcare|Medicare|Tricare|Blue Cross NC|Medicaid|Humana|Aetna,True,True,2022-12-31,False
PRV0029,1897976027,Individual,207P00000X,Emergency Medicine,NC,NC26728,2011-01-05,2024-01-22,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Medicare|Blue Cross NC|Tricare|Humana|Aetna,True,False,2021-05-04,False
PRV0030,1480349675,Individual,207R00000X,Internal Medicine,NC,NC57920,2012-08-08,2024-02-02,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Medicare|UnitedHealthcare|Blue Cross NC|Aetna|Medicaid,True,True,2018-12-01,False
PRV0031,1372232714,Individual,207RC0000X,Cardiovascular Disease,NC,NC87002,2014-04-04,2024-04-13,Active,N,Meridian Regional Medical Center,1987654321,UnitedHealthcare|Medicare|Blue Cross NC|Humana|Medicaid|Cigna,True,True,2020-09-23,False
PRV0032,1945113177,Individual,207X00000X,Orthopaedic Surgery,NC,NC46939,2015-11-27,2024-04-17,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Medicaid|Aetna|UnitedHealthcare|Medicare,True,True,2019-05-05,False
PRV0033,1915046106,Individual,208600000X,Surgery,NC,NC45117,2013-10-15,2024-02-09,Active,N,Meridian Regional Medical Center,1987654321,Humana|Tricare|Cigna|Medicare|Blue Cross NC,True,False,2018-07-15,False
PRV0034,1314449546,Individual,207Q00000X,Family Medicine,NC,NC24527,2019-11-24,2024-01-21,Active,N,Meridian Regional Medical Center,1987654321,Cigna|UnitedHealthcare|Humana|Medicaid|Tricare|Blue Cross NC|Aetna|Medicare,True,True,2019-08-19,False
PRV0035,1386529120,Individual,207RP1001X,Pulmonary Disease,NC,NC61586,2013-12-06,2024-10-19,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Cigna|Aetna|Tricare|UnitedHealthcare,False,False,,False
PRV0036,1915254464,Individual,207RG0100X,Gastroenterology,NC,NC47176,2017-08-16,2024-10-30,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|Aetna|Humana|Cigna|Medicare,True,True,2022-01-05,False
PRV0037,1506164204,Individual,207RX0202X,Medical Oncology,NC,NC37264,2021-03-16,2024-09-23,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Tricare|Medicaid|UnitedHealthcare|Blue Cross NC,False,True,,False
PRV0038,1318384954,Individual,2084N0400X,Neurology,NC,NC28021,2016-01-22,2024-03-30,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Cigna|Aetna|Humana|Blue Cross NC|Tricare,True,False,2022-08-10,False
PRV0039,1417473588,Individual,207V00000X,Obstetrics & Gynecology,NC,NC89822,2015-07-02,2024-05-05,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Aetna|Medicaid|Blue Cross NC|Humana|Cigna|Medicare|UnitedHealthcare,True,True,2019-07-20,False
PRV0040,1499188397,Individual,2084P0800X,Psychiatry,NC,NC15885,2013-03-22,2024-05-31,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Blue Cross NC|Cigna|Humana|UnitedHealthcare|Medicare|Tricare|Medicaid,True,True,2020-05-27,False
PRV0041,1771911182,Individual,2085R0202X,Diagnostic Radiology,NC,NC43826,2017-03-30,2024-07-19,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Cigna|Aetna|UnitedHealthcare|Humana,False,False,,False
PRV0042,1445196684,Individual,208100000X,Physical Medicine & Rehabilitation,NC,NC28448,2021-05-25,2024-01-08,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Medicaid|Cigna|Aetna|Humana|Blue Cross NC,True,True,2018-10-23,False
PRV0043,1262303400,Individual,207P00000X,Emergency Medicine,NC,NC58549,2017-06-05,2024-09-23,Active,N,Meridian Regional Medical Center,1987654321,UnitedHealthcare|Blue Cross NC|Cigna|Tricare|Medicare|Humana|Medicaid,True,True,2021-08-14,False
PRV0044,1214395621,Individual,207R00000X,Internal Medicine,NC,NC44985,2012-04-08,2024-09-20,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Aetna|Humana|Medicaid|Tricare|Blue Cross NC|UnitedHealthcare,False,True,,False
PRV0045,1507903555,Individual,207RC0000X,Cardiovascular Disease,NC,NC68719,2014-02-11,2024-05-08,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Medicaid|Medicare|Blue Cross NC|UnitedHealthcare|Aetna,True,True,2020-04-05,False
PRV0046,1785218712,Individual,207X00000X,Orthopaedic Surgery,NC,NC70332,2017-02-15,2024-09-28,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|Medicare|Tricare|Cigna|Aetna|Humana,True,True,2022-12-12,False
PRV0047,1771254162,Individual,208600000X,Surgery,NC,NC82910,2015-06-11,2024-02-18,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Blue Cross NC|Medicare|Humana|UnitedHealthcare|Medicaid|Cigna,True,True,2016-09-28,False
PRV0048,1722075992,Individual,207Q00000X,Family Medicine,NC,NC58086,2021-07-05,2024-12-16,Active,N,Meridian Regional Medical Center,1987654321,Humana|Cigna|Medicare|UnitedHealthcare|Blue Cross NC|Aetna,True,False,2021-05-09,False
PRV0049,1769751886,Individual,207RP1001X,Pulmonary Disease,NC,NC34231,2013-12-24,2024-05-08,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Humana|Cigna|Tricare|UnitedHealthcare,False,False,,False
PRV0050,1705145700,Individual,207RG0100X,Gastroenterology,NC,NC89107,2022-02-21,2024-05-07,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|UnitedHealthcare|Aetna|Medicare|Medicaid|Humana,True,True,2022-09-14,False
PRV0051,1535232052,Individual,207RX0202X,Medical Oncology,NC,NC79296,2013-09-10,2024-08-01,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Humana|Blue Cross NC|Tricare|Medicaid|Cigna|UnitedHealthcare|Aetna,True,True,2021-01-06,False
PRV0052,1903121863,Individual,2084N0400X,Neurology,NC,NC31697,2017-12-12,2024-02-07,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Humana|Tricare|Blue Cross NC|UnitedHealthcare|Cigna|Medicare,True,False,2019-03-22,False
PRV0053,1420567851,Individual,207V00000X,Obstetrics & Gynecology,NC,NC37808,2022-04-24,2024-12-31,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Medicaid|Aetna|UnitedHealthcare|Cigna|Medicare,True,True,2020-06-14,False
PRV0054,1101178991,Individual,2084P0800X,Psychiatry,NC,NC90034,2016-08-03,2024-03-20,Active,N,Meridian Regional Medical Center,1987654321,UnitedHealthcare|Cigna|Blue Cross NC|Aetna|Medicare|Medicaid|Tricare|Humana,True,True,2016-07-12,False
PRV0055,1333424401,Individual,2085R0202X,Diagnostic Radiology,NC,NC94796,2017-09-16,2024-05-29,Active,N,Meridian Regional Medical Center,1987654321,Humana|Aetna|Medicare|Cigna|UnitedHealthcare|Blue Cross NC|Medicaid|Tricare,True,True,2018-01-14,False
